1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	5_clip	6_clip	7_clip	8_clip	9_clip
sq449	0	0	1	0	7	1	1	2	2	0	1	0	2	0	1	0	0	0	0	1	1	0	0	0	15	4	12	17	3	5	0	0	1	2	10	6	12	10	21	0	1	0	0	0
sq450	0	0	0	4	0	1	1	1	2	0	0	1	5	2	0	0	1	3	4	5	2	0	0	26	4	2	2	14	8	14	0	0	0	1	1	0	8	4	20	0	0	1	0	2
sq451	1	0	2	1	1	2	0	1	1	7	3	3	2	0	0	2	1	2	2	3	1	0	4	10	0	0	5	6	0	6	0	0	5	5	0	7	4	11	3	6	8	4	14	5
sq452	3	0	0	3	2	0	0	1	2	2	6	2	0	1	4	0	2	0	7	8	5	0	3	1	0	3	3	4	2	4	0	0	9	1	4	1	2	13	1	3	10	7	13	5
sq453	2	3	3	3	3	8	9	2	3	10	6	4	1	0	3	1	3	6	14	5	10	0	0	0	0	0	2	3	4	1	0	0	1	2	0	0	2	3	6	1	1	5	4	3
sq454	0	0	2	4	7	3	5	1	4	8	9	0	7	3	6	4	1	3	5	4	6	0	1	8	1	3	8	3	4	4	0	0	0	0	0	7	2	0	14	0	0	0	0	0
sq455	9	1	3	2	2	2	5	1	3	4	3	5	1	4	0	0	4	4	3	7	3	0	5	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	5	8	10	24	9
sq456	7	15	7	4	4	7	3	0	0	0	0	13	2	7	18	2	0	5	2	0	0	0	3	5	0	2	0	0	0	0	15	0	2	5	0	0	0	0	0	1	3	0	1	3
sq457	2	1	1	0	3	0	1	2	2	0	2	3	1	0	0	1	0	3	1	2	2	0	1	0	1	6	5	4	3	6	0	0	6	0	8	2	10	8	8	9	10	7	9	6
sq458	11	0	3	1	7	6	1	2	3	1	4	11	3	4	6	0	1	4	7	5	7	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	5	11	15	11
sq459	10	34	4	4	8	0	0	0	2	1	0	19	2	2	7	2	0	1	0	2	2	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	12	4	5	3
sq460	0	0	0	0	2	0	2	1	1	1	2	2	2	2	3	1	1	4	3	6	1	0	0	0	1	8	5	7	8	3	0	0	9	2	2	2	5	7	13	2	7	8	6	5
sq461	13	5	5	7	4	1	3	2	0	0	0	10	2	2	7	0	2	1	1	0	3	0	2	42	1	2	0	0	0	1	0	0	2	3	1	0	0	0	3	2	3	1	2	0
sq462	2	0	4	1	4	3	0	2	1	2	1	2	1	2	0	1	1	2	1	1	3	0	3	14	0	1	2	5	0	1	0	0	1	0	3	0	6	23	25	2	2	6	3	1
sq463	6	0	2	2	4	5	3	4	1	0	0	8	2	2	4	2	8	0	7	9	7	0	1	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	1	4	8	9	13	11
sq464	5	0	1	1	2	1	0	1	3	4	3	5	0	0	2	1	3	1	7	0	2	0	1	0	1	3	4	4	9	5	0	0	1	0	0	1	5	12	9	3	6	4	11	10
sq465	8	0	2	3	3	4	0	2	3	3	0	8	0	2	4	2	2	5	14	7	3	0	1	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	3	11	9	15	7
sq466	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	31	7	2	9	13	11	5	0	0	0	0	6	1	1	3	31	0	0	0	0	0
sq467	0	0	1	3	11	1	3	2	0	1	2	1	3	0	6	0	0	1	8	0	1	0	0	11	11	1	4	14	0	2	0	0	0	14	2	5	1	5	14	0	0	0	0	0
sq468	1	0	0	0	1	3	0	3	0	3	5	2	0	0	1	1	1	2	2	3	3	0	3	0	1	3	3	7	6	9	1	0	6	0	0	0	11	5	5	3	10	7	8	8
sq469	1	0	1	2	2	1	3	1	1	9	3	3	0	0	1	0	1	5	3	7	1	0	2	0	1	2	3	4	4	3	0	0	3	3	1	10	1	6	14	2	11	0	7	4
sq470	1	0	0	2	0	0	0	2	2	4	2	4	1	1	2	0	0	5	4	4	2	0	2	0	2	5	3	8	5	5	0	0	4	5	1	1	9	10	7	3	5	6	4	4
sq471	0	0	2	1	3	3	1	2	5	4	3	4	3	2	4	2	2	1	4	7	2	0	3	7	1	2	0	3	1	4	6	0	5	2	0	0	1	3	10	1	5	5	3	8
sq472	3	0	0	2	3	0	1	1	6	2	3	3	0	0	2	1	1	2	4	5	6	0	6	0	1	3	6	5	8	6	0	0	5	0	0	0	3	8	7	2	3	4	7	5
sq473	2	0	4	0	0	4	2	1	2	1	1	3	1	0	2	1	4	0	5	4	3	0	7	0	5	0	1	10	4	3	1	0	3	2	12	7	1	5	14	1	6	0	1	1
sq474	2	0	1	6	2	4	5	1	3	1	2	1	1	0	1	1	3	1	5	2	2	0	0	0	2	2	1	1	0	2	0	0	1	4	16	20	4	7	4	2	5	4	1	4
sq475	2	0	1	1	1	2	0	0	2	1	2	1	0	0	4	2	0	0	1	0	2	0	1	18	2	7	6	11	12	9	0	0	0	0	0	0	8	8	16	1	0	1	0	2
sq476	1	20	0	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	0	3	1	0	0	0	1	1	1	1	1	0	0	0	0	18	8	16	8	19	14	0	1	0	1	0
sq477	9	0	2	4	2	3	3	5	2	8	1	10	6	2	1	1	2	4	9	6	3	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	5	6	7	8
sq478	0	0	2	1	3	1	1	2	6	2	6	0	3	4	3	5	7	6	12	10	7	0	0	18	3	0	0	1	1	0	0	0	0	6	2	4	1	6	0	0	0	0	0	0
sq479	0	0	1	9	6	1	3	6	3	1	6	1	3	1	1	2	2	4	5	6	6	0	0	0	3	1	9	10	3	7	0	0	0	5	0	1	7	3	7	0	0	0	0	0
sq480	1	0	0	1	2	0	0	1	2	1	4	8	0	1	5	2	2	2	7	3	3	0	3	0	0	0	2	5	4	6	0	0	4	0	14	6	6	8	2	2	7	4	2	2
sq481	5	0	5	3	10	3	3	6	0	0	1	2	4	3	10	2	0	2	4	1	4	0	4	9	1	1	5	3	2	1	2	0	0	1	8	1	3	5	7	0	0	0	0	0
sq482	4	3	2	6	3	4	5	2	4	2	3	3	5	2	11	1	7	2	2	2	6	0	8	0	1	0	7	0	1	1	0	0	4	1	0	1	1	2	2	1	7	2	1	2
sq483	2	0	4	1	17	2	4	5	1	3	1	4	6	10	20	3	5	2	8	5	3	0	3	0	1	0	1	2	1	2	0	0	0	2	1	0	0	0	0	0	0	0	2	0
sq484	7	0	2	4	3	1	1	3	5	1	1	5	2	2	4	0	4	1	5	4	5	0	3	0	0	0	2	6	6	1	0	0	4	0	0	0	0	0	5	5	8	6	10	4
sq485	4	0	0	2	1	1	1	0	1	0	4	0	0	0	1	0	12	0	2	28	3	0	1	0	0	0	0	1	0	0	0	0	19	0	4	0	0	0	0	0	5	24	2	4
sq486	1	0	0	2	3	4	7	3	3	10	4	13	2	1	3	1	5	6	7	5	9	0	9	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	8	1	3	2
sq487	0	0	1	0	1	1	0	1	2	2	3	0	1	0	2	0	1	0	5	8	8	0	0	1	0	0	0	0	0	0	1	0	0	7	2	7	17	33	16	0	0	0	0	0
sq488	11	6	2	4	3	1	2	1	2	0	1	16	5	0	7	1	0	1	2	4	12	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	1	7	7	12	3
sq489	1	0	2	1	0	0	2	0	3	2	0	4	0	0	0	0	0	3	6	3	2	0	3	0	0	0	0	5	2	4	0	0	7	0	1	6	8	14	4	4	5	6	14	7
sq490	0	0	1	0	2	1	0	0	0	0	1	0	0	2	1	0	0	0	1	0	1	0	0	1	15	5	10	17	4	5	0	0	0	2	0	4	11	9	26	0	0	0	0	0
sq491	0	0	0	2	1	2	1	1	2	1	0	0	0	0	2	3	4	1	4	1	5	0	0	33	5	2	6	14	1	5	0	0	0	3	0	4	4	8	3	0	0	0	0	1
sq492	6	0	1	2	0	1	4	0	4	1	2	3	1	3	1	0	2	2	4	5	0	0	0	0	1	0	2	2	2	1	0	0	8	1	0	0	3	1	8	3	7	4	16	17
sq493	4	5	0	0	4	0	2	1	7	1	0	4	2	0	0	0	1	5	5	2	3	0	3	0	1	1	2	3	1	4	0	0	5	1	1	2	3	4	13	5	2	7	6	8
sq494	2	0	0	0	1	0	2	2	5	2	2	2	1	0	1	0	2	1	9	7	5	0	1	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	9	8	8	25	15
sq495	5	0	0	1	1	0	3	1	3	2	2	8	0	0	2	1	0	0	2	1	0	0	1	0	2	0	3	3	2	5	0	0	6	1	0	0	6	8	6	7	7	6	12	10
sq496	3	2	0	4	2	1	2	1	5	5	3	5	3	3	1	2	2	4	5	1	3	0	4	0	2	1	1	0	3	2	0	0	9	2	2	1	0	2	3	3	5	3	11	6
sq497	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	2	2	0	0	0	1	3	7	16	7	13	0	0	0	1	7	5	6	6	34	0	0	0	0	0
sq498	2	0	1	6	4	5	2	3	9	3	1	3	2	3	2	1	1	8	9	10	5	0	1	0	1	0	2	1	1	0	0	0	0	2	0	0	3	0	2	1	3	6	4	9
sq499	0	0	2	0	4	0	0	0	0	0	1	1	2	2	2	0	2	0	4	2	5	0	0	3	4	7	12	8	8	11	0	0	0	0	1	1	14	6	14	0	0	0	0	0
sq500	0	0	0	3	0	1	0	0	2	1	2	0	0	1	1	0	1	0	1	2	2	0	0	3	0	1	1	3	2	3	0	0	2	3	18	18	7	30	4	0	1	1	2	0
sq501	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	3	8	10	8	0	0	0	5	0	5	9	8	52	0	0	0	0	0
sq502	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	6	0	4	38	6	7	0	0	0	0	1	0	5	16	26	0	0	0	0	0
sq503	1	0	0	0	1	0	2	0	0	0	3	1	0	0	1	0	1	0	0	3	13	0	1	0	0	0	0	5	2	0	0	0	0	0	2	0	8	48	3	0	0	1	2	16
sq504	0	0	1	4	2	2	1	1	3	1	3	0	1	3	4	2	4	2	6	2	6	0	0	0	3	2	4	3	3	4	0	0	0	0	0	0	8	5	33	1	0	0	0	0
sq505	0	0	0	4	2	0	1	2	1	0	3	1	0	1	4	1	3	0	5	3	3	0	1	0	3	3	6	14	6	9	0	0	0	0	0	6	13	6	13	0	0	0	0	0
sq506	4	0	0	1	0	2	3	0	1	0	0	4	1	1	2	2	1	0	4	2	2	0	4	0	0	7	3	5	3	4	0	0	3	0	3	2	3	16	9	3	3	4	5	6
sq507	1	0	2	5	7	5	4	1	3	1	1	0	2	5	8	5	3	2	3	4	3	0	0	0	1	2	2	4	4	5	0	0	1	4	0	1	4	5	4	2	3	3	3	0
sq508	9	0	11	7	4	2	3	1	2	2	0	13	4	3	1	0	1	6	1	6	0	0	9	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	7	7	1	1	1
sq509	2	0	1	2	2	3	4	2	5	7	6	0	1	1	1	2	1	0	5	5	7	0	2	0	1	0	2	0	0	0	0	0	3	7	0	2	2	3	2	3	7	6	9	6
sq510	0	0	6	2	5	3	2	4	3	1	5	3	3	2	5	3	1	0	9	7	3	0	0	9	1	5	5	4	1	3	0	0	1	0	1	0	4	2	9	0	0	0	0	0
sq511	1	0	0	2	1	1	2	2	0	1	5	3	1	1	0	1	0	0	4	8	2	0	1	0	1	0	2	4	5	0	0	0	1	11	0	2	1	9	10	2	5	10	4	8
sq512	0	0	2	3	6	1	3	3	2	0	2	0	2	1	2	2	0	3	9	5	2	0	0	5	4	2	4	9	7	5	0	0	0	7	0	1	6	2	9	0	0	0	2	0
sq513	0	0	1	2	0	0	2	2	2	5	1	0	0	0	0	0	1	0	6	5	3	0	0	7	10	12	8	2	7	4	0	0	1	0	5	2	2	10	7	0	0	1	1	2
sq514	6	3	5	7	5	6	3	0	1	0	1	7	1	1	6	3	3	1	2	3	7	0	7	0	0	1	1	4	0	1	0	0	5	0	1	0	1	0	2	0	13	0	0	3
sq515	0	0	0	0	1	1	2	1	2	0	1	0	1	3	1	0	3	1	0	1	1	0	0	29	3	3	18	8	2	12	0	0	0	0	3	0	0	3	10	0	0	0	0	0
sq516	1	0	0	0	1	2	0	1	4	1	3	6	0	1	2	1	2	3	3	4	5	0	1	0	2	0	5	6	2	2	0	0	3	2	0	0	1	8	8	4	3	9	8	5
sq517	3	0	0	0	1	3	0	2	1	1	2	3	0	0	3	1	0	2	3	2	0	0	1	0	0	2	2	4	3	4	0	0	6	2	0	1	7	10	7	5	6	3	7	10
sq518	2	0	2	2	1	1	1	0	2	1	1	5	0	2	2	1	0	2	2	2	5	0	3	0	0	0	7	2	3	5	0	0	3	0	1	0	2	6	5	2	8	6	10	10
sq519	3	0	0	2	0	1	0	0	2	0	0	7	1	0	1	0	1	5	8	4	1	0	2	0	1	2	2	5	2	1	0	0	5	1	0	3	1	3	9	11	6	6	6	4
sq520	2	0	1	0	2	0	1	0	0	0	0	3	2	2	2	0	0	0	1	0	0	0	0	1	4	3	2	4	1	3	0	0	1	21	13	20	1	7	8	0	0	1	0	0
sq521	2	0	1	4	2	3	2	1	2	1	1	4	3	1	0	0	1	1	2	3	3	0	0	0	1	3	4	6	1	6	0	0	5	0	0	0	4	4	3	0	4	12	11	5
sq522	1	2	0	1	1	0	0	1	0	0	3	4	0	0	2	0	0	0	0	3	5	0	4	0	3	1	2	10	3	1	0	0	4	0	0	12	2	11	7	0	6	2	12	3
sq523	0	0	1	1	1	0	0	0	1	1	0	0	0	0	2	2	1	3	2	0	2	1	0	16	4	0	3	18	5	11	0	0	0	1	0	0	10	3	14	0	1	0	2	0
sq524	0	0	0	0	1	1	3	2	5	7	3	3	0	2	6	2	4	5	11	11	3	0	0	0	2	0	0	1	0	0	0	0	6	0	0	0	0	0	5	3	8	3	7	2
sq525	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	5	17	9	12	0	0	0	1	2	0	5	14	29	0	0	0	0	0
sq526	4	0	1	4	1	1	6	1	1	1	0	10	1	1	3	0	1	1	3	9	2	0	4	0	0	0	1	0	1	3	0	1	3	2	0	3	3	0	6	3	5	2	12	5
sq527	1	0	0	1	1	2	2	1	0	0	0	1	3	1	6	1	0	2	2	1	1	0	0	28	2	2	3	5	2	2	2	2	0	16	1	1	5	1	7	0	0	0	0	0
sq528	2	1	0	1	0	0	0	2	6	1	0	2	2	0	3	0	0	1	0	2	0	0	1	0	2	3	2	10	5	8	0	0	0	3	0	9	5	15	4	0	2	4	5	3
sq529	1	0	1	1	5	1	0	2	9	5	5	4	1	1	1	1	1	5	6	5	3	0	1	0	0	0	3	0	0	1	0	0	5	0	0	0	3	0	0	3	3	6	10	11
sq530	0	0	0	1	2	0	0	2	1	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	2	2	10	8	11	16	0	0	0	0	0	9	25	2	8	0	0	0	0	0
sq531	5	0	2	4	2	3	1	0	2	6	3	4	1	0	8	0	3	3	6	3	0	0	3	0	0	3	0	1	3	3	0	0	3	1	2	1	2	5	3	3	3	6	3	2
sq532	1	0	1	1	0	0	1	1	0	1	1	3	1	1	1	0	1	2	1	3	2	0	1	0	0	4	0	3	5	1	0	0	8	0	0	3	6	7	5	4	6	13	8	7
sq533	1	0	0	0	0	3	0	2	1	1	3	0	0	0	0	1	1	0	5	1	7	0	0	0	0	0	2	0	0	3	0	0	9	0	0	0	0	2	0	3	10	9	20	19
sq534	1	0	5	4	4	0	3	3	1	1	0	1	4	2	9	2	1	1	0	1	6	0	1	10	1	5	7	6	5	2	0	0	0	1	0	0	1	2	11	0	2	0	0	0
sq535	1	0	1	1	0	0	1	0	1	1	2	8	3	1	2	1	3	3	9	3	4	0	3	0	0	0	0	1	1	0	0	0	6	0	0	0	0	0	1	7	10	7	15	7
sq536	0	0	1	3	2	3	12	3	4	14	9	0	2	1	1	0	2	4	10	17	7	0	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
sq537	7	0	2	4	1	0	2	1	0	2	1	5	2	0	2	0	1	0	3	3	1	0	2	0	1	1	4	10	2	4	0	0	6	3	0	0	2	3	4	6	2	6	4	5
sq538	0	0	3	3	8	2	2	5	0	0	1	0	2	2	4	1	1	1	2	2	2	0	0	0	10	9	7	5	2	1	3	0	1	1	0	0	1	0	21	0	0	0	0	0
sq539	19	8	2	4	7	1	0	1	0	0	0	13	7	5	12	1	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	4	1	2	0
sq540	5	0	0	0	2	5	4	3	2	2	7	4	2	1	2	0	6	1	5	2	6	0	2	0	0	0	0	1	0	1	0	0	6	0	0	0	0	0	0	3	8	8	5	8
sq541	1	0	5	3	5	1	0	2	3	2	2	0	6	3	3	1	2	2	4	2	7	0	0	0	3	11	3	7	3	4	0	0	1	0	0	2	0	2	7	0	1	0	3	0
sq542	0	0	0	0	0	0	1	1	2	0	4	0	0	1	0	1	1	2	2	2	3	0	2	0	0	0	1	5	0	0	0	0	5	0	0	1	3	5	8	1	7	16	18	9
sq543	6	0	3	2	3	0	2	1	4	1	2	8	1	1	4	0	1	0	4	1	2	0	2	0	0	0	0	1	0	0	0	0	11	0	0	0	0	1	0	5	12	2	10	10
sq544	2	0	0	3	3	0	3	2	1	1	0	8	2	0	2	0	0	0	4	3	1	0	4	0	0	0	3	3	1	0	0	0	5	0	0	0	2	3	1	1	4	5	17	16
sq545	2	0	1	1	0	0	1	0	1	0	2	7	0	1	1	0	4	2	2	1	1	0	6	0	0	1	1	2	4	2	0	0	1	0	0	3	2	1	5	10	7	5	16	7
sq546	1	0	1	0	1	2	2	0	0	3	2	5	0	0	0	1	2	4	7	4	0	0	3	0	0	1	0	0	1	2	0	0	12	0	0	0	2	3	4	7	7	9	8	6
sq547	1	0	1	0	2	1	10	4	2	5	4	5	1	1	5	2	1	1	7	7	7	0	5	0	0	0	3	0	1	0	0	0	6	0	0	0	1	0	2	2	7	1	1	4
sq548	0	0	1	3	2	0	0	2	1	2	0	4	1	3	5	0	1	2	5	3	1	0	0	0	1	1	1	2	2	5	3	0	4	0	14	5	4	8	1	0	2	2	3	6
sq549	3	0	2	4	3	7	2	2	0	2	0	5	2	3	2	2	5	2	3	10	1	0	6	2	1	0	0	2	0	1	0	0	3	1	1	2	1	5	3	0	7	1	2	1
sq550	2	14	0	4	4	1	3	3	5	3	3	3	1	4	5	2	0	1	2	6	0	0	1	1	2	1	4	2	0	0	0	0	1	1	0	0	3	2	8	0	2	1	2	2
sq551	2	0	1	0	1	0	2	5	0	1	1	5	0	0	0	0	0	2	2	5	4	0	1	0	0	1	0	9	1	2	0	0	3	1	0	1	8	19	5	3	2	1	3	8
sq552	4	19	1	3	1	1	2	1	0	1	2	2	0	0	2	0	0	0	5	2	2	0	5	0	0	0	0	1	0	0	0	0	5	0	0	0	2	0	9	3	2	6	8	9
sq553	2	0	3	4	3	4	4	0	2	2	5	2	1	0	1	0	3	5	3	5	1	0	1	0	0	2	1	1	0	0	0	0	5	4	9	0	2	0	0	2	6	3	9	3
sq554	1	0	3	2	0	2	4	1	7	1	8	3	4	1	1	0	3	6	3	5	8	0	4	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	4	8	2	3	9
sq555	1	1	0	1	0	1	3	0	1	0	2	4	0	0	0	0	0	2	7	1	2	0	1	0	0	0	1	3	1	4	0	0	3	0	0	3	3	6	3	6	6	9	17	6
sq556	12	0	4	2	3	1	2	1	0	2	1	9	1	1	3	1	2	0	6	5	5	0	3	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	2	1	4	3	9	9
sq557	6	1	5	7	5	1	1	2	4	0	4	13	5	1	4	2	0	3	4	2	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	3	4	8	3
sq558	3	0	2	3	6	1	1	0	0	0	0	3	1	3	7	2	3	0	2	1	0	0	0	4	4	0	5	4	2	0	19	0	0	1	0	1	3	5	10	0	0	1	0	0
sq559	0	0	2	1	1	2	0	0	3	0	1	0	0	0	3	0	1	0	2	2	3	0	2	0	0	0	1	1	2	1	0	0	10	0	0	0	1	1	3	6	13	13	15	7
sq560	0	0	1	2	0	2	2	6	5	2	5	0	2	2	2	5	4	0	14	6	6	0	0	0	1	0	8	5	0	3	0	0	1	0	0	0	3	1	8	0	0	1	0	0
sq561	2	13	3	1	4	1	2	3	0	1	0	6	2	2	1	1	1	0	2	1	3	0	0	0	0	1	0	2	0	0	0	0	4	0	0	0	2	0	0	2	2	14	14	6
sq562	0	0	0	2	2	1	0	2	3	4	0	5	0	2	0	1	1	3	6	4	3	0	1	0	4	2	3	1	4	4	0	0	1	2	1	3	0	7	2	1	8	6	2	5
sq563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	2	4	17	3	16	0	0	0	1	7	1	12	5	24	0	0	0	0	0
sq564	1	0	2	3	0	1	0	2	1	1	4	0	0	0	0	0	1	4	1	7	0	0	2	11	5	3	3	4	4	3	0	0	0	2	3	1	1	13	7	1	0	2	1	1
sq565	1	0	1	0	0	1	0	2	0	3	0	1	0	0	1	0	2	2	4	3	0	0	2	23	0	2	2	3	3	7	5	0	2	0	0	1	1	8	2	2	4	1	6	0
sq566	0	0	0	1	1	0	3	1	3	1	1	2	0	0	0	1	1	2	1	3	2	0	0	0	0	0	4	3	2	2	0	0	2	0	0	1	5	2	7	1	5	13	10	15
sq567	3	0	0	0	0	0	1	2	1	0	3	2	0	0	0	0	2	1	0	2	2	0	4	0	1	0	1	5	3	1	0	0	3	0	0	0	0	6	1	6	5	10	20	9
sq568	2	0	0	4	1	0	1	1	0	3	0	5	1	0	1	0	3	2	6	3	3	0	1	0	1	0	0	2	1	1	0	0	8	0	0	0	0	1	1	1	10	7	15	9
sq569	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	6	1	11	6	2	0	0	0	1	4	0	7	19	14	0	0	0	0	0
sq570	4	0	1	0	2	0	3	4	4	2	6	7	2	1	6	2	2	3	5	5	2	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	4	4	6	5	2	2
sq571	3	0	6	4	0	1	1	7	0	0	4	6	5	5	4	1	2	6	3	5	4	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	6	0	2	3
sq572	2	0	2	5	1	1	1	1	3	1	1	4	0	0	0	0	1	1	2	4	1	0	1	0	1	2	0	3	1	7	0	0	11	2	4	0	3	2	5	6	1	7	3	3
sq573	1	0	2	3	5	1	0	1	3	0	1	1	5	2	6	0	0	2	2	2	0	0	0	0	0	1	4	3	1	1	0	0	0	2	2	0	8	4	28	0	1	0	0	1
sq574	4	0	0	1	2	0	2	0	2	0	0	6	0	2	2	0	3	1	2	3	0	0	1	1	2	1	4	0	1	1	0	0	2	1	0	9	4	1	5	3	3	6	12	5
sq575	4	0	0	3	0	0	0	3	0	0	3	2	0	0	1	1	2	0	4	2	2	0	1	3	0	2	2	0	0	3	3	0	1	4	2	1	4	3	6	3	4	5	7	10
sq576	0	0	2	1	1	2	3	7	4	9	14	0	2	2	0	1	4	9	9	8	5	0	0	0	1	2	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0
sq577	2	0	1	1	1	1	1	2	3	3	1	2	1	0	2	1	2	0	4	1	4	0	3	0	0	6	1	0	1	1	5	0	2	4	5	1	4	2	2	2	6	4	4	4
sq578	2	0	0	5	3	0	0	1	2	2	1	7	0	0	1	0	1	1	3	4	4	0	1	0	0	0	0	0	0	0	0	0	5	0	0	1	0	8	0	4	8	6	8	12
sq579	1	0	0	1	1	3	1	1	4	4	3	1	0	2	1	0	1	1	3	3	6	0	3	0	0	0	0	4	3	1	0	0	0	2	0	0	6	3	9	1	7	4	7	3
sq580	0	0	0	3	2	0	6	0	2	1	5	2	0	3	4	0	1	3	6	4	2	0	0	0	0	0	2	1	0	2	1	0	3	0	0	0	0	1	2	1	10	7	10	6
sq581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	4	18	6	6	0	0	0	1	0	3	22	9	5	0	0	1	0	1
sq582	0	0	2	1	3	0	0	3	1	3	1	3	0	1	1	0	1	6	1	1	1	0	1	0	1	4	5	0	3	3	0	2	1	8	8	5	6	3	0	2	1	2	2	3
sq583	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	7	8	14	4	10	0	0	0	1	3	1	5	11	19	0	0	0	0	0
sq584	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	67	0	5	0	0	2	0	0	0	0	0	9	0	0	0	2	0	0	1	0	0
sq585	9	1	5	4	8	1	2	3	1	1	3	6	4	3	2	0	1	7	6	1	6	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	3	2	0
sq586	8	0	1	7	1	0	0	1	2	2	4	4	1	0	1	1	0	1	2	1	2	0	1	0	0	5	1	2	1	1	0	0	5	1	0	0	0	4	2	0	3	8	8	7
sq587	5	0	2	1	1	0	1	0	1	0	1	4	3	1	2	0	1	1	5	1	1	0	3	3	2	0	1	2	0	2	0	0	5	0	0	0	2	2	1	4	3	12	10	5
sq588	1	0	0	1	0	1	1	1	1	2	1	5	1	0	1	0	2	0	4	3	0	0	2	0	0	2	1	6	1	4	0	0	5	0	0	1	8	9	2	3	3	3	4	9
sq589	0	0	0	2	2	0	0	1	0	3	4	0	1	1	0	2	0	1	1	1	6	0	0	15	0	0	6	23	8	6	0	0	0	0	1	0	1	2	1	0	0	0	0	0
sq590	0	0	0	1	0	0	0	2	2	1	0	0	2	0	1	1	1	1	2	0	0	0	0	8	1	4	1	4	2	5	0	0	4	0	1	0	5	6	5	3	7	3	5	10
sq591	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	0	4	6	1	2	18	2	0	0	0	0	3	12	4	6	12	11	0	0	0	0	0
sq592	0	0	0	0	0	1	0	1	1	0	0	2	1	0	0	0	0	2	1	1	2	0	1	0	1	1	3	9	7	4	0	0	1	0	0	1	8	13	13	0	5	3	4	2
sq593	0	0	1	1	1	0	0	0	0	0	0	0	1	3	6	0	0	0	1	0	2	0	1	0	5	2	8	13	1	5	0	0	0	3	1	2	7	3	20	0	0	0	0	0
sq594	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	5	10	9	4	0	0	3	4	0	0	14	7	13	3	1	3	5	2
sq595	4	0	2	2	2	0	3	2	4	0	3	4	1	1	5	1	2	3	4	1	1	0	2	0	0	0	1	4	2	0	0	0	2	0	0	4	2	2	2	5	1	6	7	1
sq596	4	0	0	0	1	0	1	3	0	0	1	4	0	1	1	0	1	0	2	3	0	0	2	0	0	2	2	1	2	2	0	0	5	0	0	0	3	7	9	4	3	9	6	7
sq597	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	8	8	0	2	11	1	5	0	0	0	0	0	0	17	12	15	0	0	0	0	0
