1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	5_clip	6_clip	7_clip	8_clip	9_clip
sq32	13	3	40	77	138	57	25	61	68	42	73	14	53	50	100	32	37	77	150	86	94	3	5	98	146	243	482	315	281	569	16	0	6	71	94	94	491	460	813	1	3	6	3	3
sq33	45	0	11	46	33	65	39	53	169	111	184	49	28	17	32	35	61	241	389	230	172	2	42	14	45	117	178	286	174	211	0	2	70	44	23	47	308	433	643	62	118	93	142	161
sq34	32	2	10	35	22	40	26	45	88	76	92	55	17	19	28	25	47	120	235	168	126	0	24	55	72	98	198	244	182	202	2	4	34	115	71	144	311	550	592	38	102	48	72	111
sq35	0	0	10	10	22	29	18	16	58	52	81	0	15	6	17	16	29	44	255	205	327	0	0	29	3	7	3	22	8	4	61	3	0	225	105	271	487	1488	581	0	0	0	0	0
sq36	0	0	12	12	32	17	16	25	19	5	25	0	30	17	38	14	18	21	57	25	54	0	1	21	85	151	190	705	286	497	0	0	0	93	142	131	344	226	1108	0	0	0	0	0
sq37	461	207	173	172	329	80	60	106	25	13	42	582	260	114	373	64	71	77	87	42	86	0	195	0	0	0	2	0	0	0	0	2	176	0	5	0	0	0	0	88	132	48	57	34
sq38	8	1	63	169	234	94	110	171	179	96	172	8	125	109	204	70	124	163	385	245	247	1	2	3	27	52	101	80	69	123	7	4	6	36	12	19	128	88	254	12	7	5	14	7
sq39	3	0	14	33	52	17	18	32	33	11	20	3	35	25	56	13	13	23	65	29	45	1	0	133	123	279	347	351	314	498	0	0	0	54	47	45	302	331	413	2	0	2	3	6
sq40	330	32	74	103	107	93	129	68	81	82	108	400	76	44	119	78	85	103	190	145	184	0	70	0	0	0	0	1	0	0	0	0	189	2	8	0	1	0	0	89	248	158	213	158
sq41	167	25	55	60	62	69	65	51	101	79	103	208	82	38	95	48	66	94	224	210	143	1	108	0	0	0	1	0	0	1	13	0	192	2	2	1	0	2	0	128	267	220	391	312
sq42	3	0	11	21	40	13	7	15	17	9	18	2	8	21	28	8	14	20	42	35	16	1	0	182	125	203	417	257	176	371	8	5	0	172	88	141	278	288	504	0	1	1	0	0
sq43	370	165	139	152	261	70	54	94	23	13	32	550	221	123	291	45	43	56	87	52	87	0	161	0	1	1	2	2	0	0	1	3	115	0	14	0	2	0	2	69	114	37	65	43
sq44	1	0	20	29	36	13	6	6	4	3	4	2	27	19	41	6	1	3	15	15	23	0	0	81	254	110	197	425	40	50	0	13	1	375	128	263	257	279	674	0	0	1	0	0
sq45	428	66	135	161	178	90	73	87	44	22	48	381	160	111	253	43	45	82	103	55	80	0	132	0	0	0	1	0	0	0	1	2	120	1	7	0	0	0	0	81	127	40	45	30
sq46	93	22	64	47	73	54	150	88	103	121	158	122	62	31	80	70	111	118	197	201	125	0	114	13	0	1	2	7	8	3	1	0	161	4	11	1	4	4	6	122	206	102	176	187
sq47	97	0	15	19	17	26	51	16	25	28	51	6	16	14	22	7	143	26	35	368	50	6	9	899	23	23	17	20	13	11	25	92	296	52	61	55	8	28	17	11	74	324	31	62
