	Kingdom	Phylum	Class	Order	Family	Genus
sq2090	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
sq2091	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas
sq2092	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9_marine_group_unclassified
sq2093	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
sq2094	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_unclassified
sq2095	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
sq2096	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
sq2097	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Wenyingzhuangia
sq2098	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_unclassified
sq2099	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga
sq2100	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
sq2101	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonadaceae_unclassified
sq2102	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Cocleimonas
sq2103	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus
sq2104	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_unclassified
sq2105	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae_unclassified
sq2106	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
sq2107	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae_unclassified
sq2108	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Perspicuibacter
