KEGG	Category1	Category2	Category3
K00844	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K12407	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00845	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00886	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K08074	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00918	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01810	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K06859	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15916	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00850	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16370	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01623	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01624	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K11645	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16305	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16306	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01803	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00134	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00150	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00927	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K11389	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01834	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15633	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15634	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15635	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01689	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00873	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K12406	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01622	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00163	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00161	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00162	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00627	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00382	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00169	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00170	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00172	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00171	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00027	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00028	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00029	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K13937	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00036	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K19243	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01057	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K07404	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00033	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01783	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01807	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01808	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00615	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00616	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K13810	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K08094	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K08093	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K13812	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K13831	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00948	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00034	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18124	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18125	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01053	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00851	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01690	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01625	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K05308	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00874	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18126	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K11395	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00131	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18978	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18127	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18020	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18021	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18022	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18128	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K03738	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01647	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01681	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01682	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00031	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00030	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00164	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00658	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00174	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00175	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00177	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00176	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01902	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01903	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01899	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01900	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18118	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00234	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00235	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00236	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00237	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00239	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00240	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00241	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00242	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18859	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18860	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00244	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00245	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00246	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00247	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01676	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01679	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01677	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01678	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00026	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00025	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00024	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00116	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01637	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01638	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00023	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K17865	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14446	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14447	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14448	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14451	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00261	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K19268	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01846	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K04835	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K19280	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K19281	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K19282	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01965	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01966	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K11263	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18472	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K19312	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K19269	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K11517	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K03781	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15893	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15919	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15918	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00855	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01601	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01602	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K05298	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K03841	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K02446	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K11532	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01086	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K04041	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01100	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01595	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14454	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14455	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00814	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14272	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01006	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01610	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00051	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K03737	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01007	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01958	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01959	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01960	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18556	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18557	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18558	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18559	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18560	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18209	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18210	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15230	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15231	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15232	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15233	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15234	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K02160	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01961	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01962	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01963	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01964	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15036	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15037	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14468	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15017	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15039	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14469	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15018	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15019	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15020	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15052	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K05606	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01847	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01848	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01849	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14471	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14472	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K08691	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14449	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14470	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K09709	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15038	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14465	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14466	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14467	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18861	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14534	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15016	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00626	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00198	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00196	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00192	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00195	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K05299	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15022	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01938	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01491	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00297	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15023	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14138	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00197	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00194	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K10944	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K10945	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K10946	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16157	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16158	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16159	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16160	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16161	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16162	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14028	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14029	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K17066	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K10713	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K10714	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00148	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K17067	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K03396	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00121	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01070	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00122	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00123	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00124	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00125	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00126	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00127	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00200	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00201	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00202	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00203	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K11261	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00205	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K11260	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00204	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00672	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01499	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00319	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K13942	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00320	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K15024	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00925	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00625	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K13788	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01895	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00193	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00577	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00578	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00579	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00580	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00581	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00582	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00583	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00584	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14080	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K04480	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14081	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00317	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14082	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16176	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16177	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14083	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14084	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16178	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K16179	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00399	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00401	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00402	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K03388	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K03389	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K03390	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K08264	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K08265	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K17100	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00863	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00600	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00830	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00018	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K11529	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K08692	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K14067	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00058	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00831	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01079	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01752	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01754	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K17989	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00281	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00282	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00283	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00605	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K02437	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01948	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00926	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00640	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01738	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K12339	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K13034	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K17069	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01455	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00249	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K07511	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K07514	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K07515	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K05605	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00140	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18122	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18121	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18120	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00043	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K08318	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K18119	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01715	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01782	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01825	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K07516	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00209	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K17829	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K00248	Metabolism	Overview	01200 Carbon metabolism [PATH:ko01200]
K01647	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K01681	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K01682	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00031	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00030	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K01655	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K17450	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K01705	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K05824	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K17753	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K10977	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K16792	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K16793	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K10978	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K14454	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K14455	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00811	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00812	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00813	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K11358	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00928	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00133	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00836	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00814	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K14260	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K14272	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00619	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00620	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00618	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K11067	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K14681	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K14682	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00930	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00145	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K12659	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00818	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K00821	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K01438	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
K14677	Metabolism	Overview	01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]
